date,close
2025-11-03,269.05
2025-11-04,270.04
2025-11-05,270.14
2025-11-06,269.77
2025-11-07,268.47
2025-11-10,269.43
2025-11-11,275.25
2025-11-12,273.47
2025-11-13,272.95
2025-11-14,272.41
2025-11-17,267.46
2025-11-18,267.44
2025-11-19,268.56
2025-11-20,266.25
2025-11-21,271.49
2025-11-24,275.92
2025-11-25,276.97
2025-11-26,277.55
2025-11-28,278.85
2025-12-01,283.1
2025-12-02,286.19
2025-12-03,284.15
2025-12-04,280.7
2025-12-05,278.78
2025-12-08,277.89
2025-12-09,277.18
2025-12-10,278.78
2025-12-11,278.03
2025-12-12,278.28
2025-12-15,274.11
2025-12-16,274.61
2025-12-17,271.84
2025-12-18,272.19
2025-12-19,273.67
2025-12-22,270.97
2025-12-23,272.36
2025-12-24,273.81
2025-12-26,273.4
2025-12-29,273.76
2025-12-30,273.08
2025-12-31,271.86
2026-01-02,271.01
2026-01-05,267.26
2026-01-06,262.36
2026-01-07,260.33
2026-01-08,259.04
2026-01-09,259.37
2026-01-12,260.25
2026-01-13,261.05
2026-01-14,259.96
2026-01-15,258.21
2026-01-16,255.53
2026-01-20,246.7
2026-01-21,247.65
2026-01-22,248.35
2026-01-23,248.04
2026-01-26,255.41
2026-01-27,258.27
2026-01-28,256.44
2026-01-29,258.28
2026-01-30,259.48
2026-02-02,270.01
2026-02-03,269.48
2026-02-04,276.49
2026-02-05,275.91
2026-02-06,278.12
2026-02-09,274.62
2026-02-10,273.68
2026-02-11,275.5
2026-02-12,261.73
2026-02-13,255.78
2026-02-17,263.88
2026-02-18,264.35
2026-02-19,260.58
2026-02-20,264.58
2026-02-23,266.18
2026-02-24,272.14
2026-02-25,274.23
2026-02-26,272.95
2026-02-27,264.18
2026-03-02,264.72
2026-03-03,263.75
2026-03-04,262.52
2026-03-05,260.29
2026-03-06,257.46
2026-03-09,259.88
2026-03-10,260.83
2026-03-11,260.81
2026-03-12,255.76
2026-03-13,250.12
2026-03-16,252.82
2026-03-17,254.23
2026-03-18,249.94
2026-03-19,248.96
2026-03-20,247.99
2026-03-23,251.49
2026-03-24,251.64
2026-03-25,252.62
2026-03-26,252.89
2026-03-27,248.8
